"lat","lon","timezone","timezone_offset","current__dt","current__sunrise","current__sunset","current__temp","current__feels_like","current__pressure","current__humidity","current__dew_point","current__uvi","current__clouds","current__visibility","current__wind_speed","current__wind_deg","current__wind_gust","current__weather__id","current__weather__main","current__weather__description","current__weather__icon","minutely__dt","minutely__precipitation","hourly__dt","hourly__temp","hourly__feels_like","hourly__pressure","hourly__humidity","hourly__dew_point","hourly__uvi","hourly__clouds","hourly__visibility","hourly__wind_speed","hourly__wind_deg","hourly__wind_gust","hourly__weather__id","hourly__weather__main","hourly__weather__description","hourly__weather__icon","hourly__pop","hourly__rain__1h","hourly__snow__1h","daily__dt","daily__sunrise","daily__sunset","daily__moonrise","daily__moonset","daily__moon_phase","daily__temp__day","daily__temp__min","daily__temp__max","daily__temp__night","daily__temp__eve","daily__temp__morn","daily__feels_like__day","daily__feels_like__night","daily__feels_like__eve","daily__feels_like__morn","daily__pressure","daily__humidity","daily__dew_point","daily__wind_speed","daily__wind_deg","daily__wind_gust","daily__weather__id","daily__weather__main","daily__weather__description","daily__weather__icon","daily__clouds","daily__pop","daily__rain","daily__snow","daily__uvi"
"45","-90","America/Chicago","-21600","1638232025","1638191773","1638224463","30.07","24.76","1009","94","28.74","0","77","10000","5.06","60","9.4","803","Clouds","broken clouds","04n","1638232080","0","1638230400","30.07","24.76","1009","94","28.74","0","77","10000","5.06","60","9.4","803","Clouds","broken clouds","04n","0.4","","","1638205200","1638191773","1638224463","1638169920","1638216000","0.83","31.05","23.81","31.05","23.81","29.05","24.75","21.51","16.18","23.13","18.5","1012","62","19.51","12.46","152","26.24","601","Snow","snow","13d","100","0.88","","3.2","0.5"
"","","","","","","","","","","","","","","","","","","","","","","1638232140","0","1638234000","29.66","24.76","1009","95","28.54","0","81","10000","4.56","58","8.05","803","Clouds","broken clouds","04n","0.2","","","1638291600","1638278243","1638310836","1638260760","1638303660","0.86","34.84","23.13","35.37","25.81","25.07","24.37","25.3","21.88","18.05","15.89","1016","77","28.2","14.83","304","36.93","800","Clear","clear sky","01d","10","0","","","1.3"
"","","","","","","","","","","","","","","","","","","","","","","1638232200","0","1638237600","27.23","22.23","1010","96","26.37","0","69","10000","4.29","359","4.05","803","Clouds","broken clouds","04n","0.12","","","1638378000","1638364711","1638397212","1638351780","1638391560","0.9","35.76","25.66","38.07","34.48","35.53","27.28","28.13","26.49","28.56","16.65","1007","100","35.73","13.67","175","36.73","616","Snow","rain and snow","13d","100","1","0.13","4.01","0.43"
"","","","","","","","","","","","","","","","","","","","","","","1638232260","0","1638241200","25.79","19.74","1011","97","25.14","0","58","10000","5.03","341","5.86","803","Clouds","broken clouds","04n","0.04","","","1638464400","1638451179","1638483590","1638443040","1638479640","0.94","37.81","25.27","39","25.27","29.61","37.29","28.8","18.61","21.07","28.69","1008","77","31.08","15.9","308","41.43","804","Clouds","overcast clouds","04d","100","0","","","1.21"
"","","","","","","","","","","","","","","","","","","","","","","1638232320","0","1638244800","24.64","17.64","1011","97","23.99","0","47","10000","5.82","319","12.97","802","Clouds","scattered clouds","03n","0.04","","","1638550800","1638537645","1638569971","1638534480","1638568200","0.98","29.3","24.31","30.83","27.01","27.23","25.23","21.96","22.62","21.11","25.23","1024","71","20.93","7.45","64","14.99","600","Snow","light snow","13d","100","0.28","","0.25","1.01"
"","","","","","","","","","","","","","","","","","","","","","","1638232380","0","1638248400","23.81","16.18","1012","96","22.35","0","35","10000","6.33","305","18.37","802","Clouds","scattered clouds","03n","0.04","","","1638637200","1638624109","1638656354","1638625920","1638657360","0","30.61","22.44","30.9","25.32","22.44","25.65","21.56","20.3","16.57","18.1","1024","69","21.49","11.23","324","19.06","600","Snow","light snow","13d","100","0.88","","1.06","2"
"","","","","","","","","","","","","","","","","","","","","","","1638232440","0","1638252000","23.67","16.02","1013","96","22.26","0","31","10000","6.33","308","18.12","802","Clouds","scattered clouds","03n","0","","","1638723600","1638710572","1638742740","1638717000","1638747240","0.06","27.7","23.47","27.7","23.47","24.01","24.19","18.46","12.6","12.94","18.1","1023","69","18.93","11.61","85","26.46","600","Snow","light snow","13d","100","0.72","","1.25","2"
"","","","","","","","","","","","","","","","","","","","","","","1638232500","0","1638255600","23.13","15.22","1013","97","21.92","0","16","10000","6.49","300","18.16","801","Clouds","few clouds","02n","0","","","1638810000","1638797034","1638829129","1638807300","1638837840","0.1","27.3","19.51","27.55","25.68","25.63","19.51","22.68","18","18.55","14.56","1012","87","23.63","8.61","54","20.36","601","Snow","snow","13d","90","1","","3.08","2"
"","","","","","","","","","","","","","","","","","","","","","","1638232560","0","1638259200","23.4","14.61","1014","96","22.17","0","11","10000","7.67","298","23.04","801","Clouds","few clouds","02n","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","1638232620","0","1638262800","23.92","14.86","1014","96","22.69","0","9","10000","8.21","299","26.64","800","Clear","clear sky","01n","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
